file	line	words	group	verdict	evidence	evidence_sha	reason
apps/lumen/benches/bench_duplicates.rs	2	23	head	disposable	apps/lumen/benches/bench_duplicates.rs:3-7://!	92c50f0047e0	AW cannot yet partition one semantic Schema section across exact benchmark source-unit targets; preserve the verified benchmark body until #1634 lands canonical ownership.
apps/lumen/benches/bench_index.rs	2	23	head	disposable	apps/lumen/benches/bench_index.rs:3-15://!	48471c93ecf3	AW cannot yet partition one semantic Schema section across exact benchmark source-unit targets; preserve the verified benchmark body until #1634 lands canonical ownership.
apps/lumen/benches/bench_search.rs	2	23	head	disposable	apps/lumen/benches/bench_search.rs:3-11://!	70af227cfc62	AW cannot yet partition one semantic Schema section across exact benchmark source-unit targets; preserve the verified benchmark body until #1634 lands canonical ownership.
apps/lumen/src/backup.rs	1	24	head	disposable	apps/lumen/src/backup.rs:2-9://!	757a4fe6d231	Lumen owns only its restore endpoint; service-backup owns the shared authenticated GET /admin/backup fetch and sink upload contract, re-exported under Lumen's compatible helper names.
apps/lumen/src/dx.rs	2	23	head	disposable	apps/lumen/src/dx.rs:4-18://!	60c7999d04f9	The runtime renderer binds TD task decisions to Rust FieldType capabilities; AW has the dx-contract parser/skeleton but not yet this cross-source Rust emitter.
apps/lumen/src/operator/certificate.rs	1	29	head	disposable	apps/lumen/src/operator/certificate.rs:2-24://!	39a02aa9757e	The DNS and SPIFFE identities a Lumen instance may claim are derived from its own topology; every other part of the certificate lifecycle is shared and lives in libs/service-k8s.
apps/lumen/src/operator/fleet.rs	418	21	deep	disposable	apps/lumen/src/operator/fleet.rs:419-426:///	c44297887e4d	AW cannot scaffold an async controller loop; the fleet's cluster I/O is bounded by hand around the pure plan/apply functions above.
apps/lumen/src/operator/resize.rs	1	56	head	disposable	apps/lumen/src/operator/resize.rs:2-12://!	8f13417a0f50	Thin Lumen-specific adapter over the shared `service_k8s::resize` module (#970): fetches the named Lumen CR for spec.serving.raftStorage and delegates PVC listing/quantity-compare/patch logic (parse_storage_bytes, ResizeAction/decide, PvcResizeOutcome, resize_instance) to libs/service-k8s, supplying the `app.kubernetes.io/instance=<name>` label selector and the `raft-<name>-` PVC name filter. No generator primitive exists yet for this shape, so it stays HANDWRITE per CLAUDE.md until one covers it.
apps/lumen/e2e/access_render_cli.rs	1	26	head	disposable	apps/lumen/e2e/access_render_cli.rs:3-19://!	8b5aa116a37c	Proving a rendered RBAC bundle keeps two identities apart needs the shipped CLI surface plus a structural read of the emitted objects; no generator emits either.
apps/lumen/e2e/capability_shared_ownership.rs	1	61	deep	merged	apps/lumen/e2e/capability_shared_ownership.rs:1-11://!	659cda966c44	Create one deterministic structural regression gate for Lumen's trait-derived capability baseline and shared-library ownership boundary. It must inspect aw.toml, README, Cargo.toml, and the actual CLI, HTTP, auth, Kubernetes, Raft, peer transport, and observability integration seams; require canonical shared delegation; keep search/CRD policy app-owned; and encode a total, disjoint shared-versus-domain classification so shared failures cannot be tracked skips. generator gap: missing-generator:test:capability-shared-ownership (#2324).
apps/lumen/e2e/capability_stateful_workload_linkage.rs	1	29	deep	merged	apps/lumen/e2e/capability_stateful_workload_linkage.rs:1-11://!	cc7b14178c95	Add a deterministic structural regression test that requires the TD primary capability reference, active #2144 linkage, retained #1553 provenance, and the existing stateful capability gate. generator gap: missing-generator:test:capability-td-linkage (#2144).
apps/lumen/e2e/cli_client_ksa_token.rs	1	35	head	disposable	apps/lumen/e2e/cli_client_ksa_token.rs:2-27://!	f64a0d7dce07	Proving where a credential is not requires running the real binary against a stand-in apiserver and a recording upstream, then reading the child's environment, argv and output; no generator primitive emits a three-party process test.
apps/lumen/e2e/cli_convention.rs	2	16	deep	merged	apps/lumen/e2e/cli_convention.rs:1-10://!	ec7dab46b726	CLI convention smoke test for the shared llm/upgrade/issue surface until the test generator owns binary-help assertions.
apps/lumen/e2e/cli_credential_paths_retired.rs	1	24	head	disposable	apps/lumen/e2e/cli_credential_paths_retired.rs:2-29://!	a356c68c43d6	Proving a path was deleted needs a scan of the shipped surface plus a live run under a fake kubectl; no generator emits either.
apps/lumen/e2e/control_plane_identity_e2e.rs	1	42	head	disposable	apps/lumen/e2e/control_plane_identity_e2e.rs:2-21://!	c41a44731b2a	Drives a real projected-token file through a real router: rotation mid-run, the refusals that must happen before a request is sent, and two control-plane callers whose grants are independent. No generator primitive composes a filesystem credential source with an HTTP authorization matrix.
apps/lumen/e2e/ec_claim_closure_consistency.rs	1	23	deep	deferred:S3	-	-	The EC producer cannot independently prove that its authored claim document, generated inventory, wrapper dispatch, and capability-contract claims agree without a repository-level oracle.
apps/lumen/e2e/jieba_bigram_fallback_e2e.rs	1	56	deep	merged	apps/lumen/e2e/jieba_bigram_fallback_e2e.rs:1-11://!	813fc7740797	New end-to-end test (default feature set, jieba OFF): create a collection with a `text` field declared `analyzer: jieba`, index a document whose value is 北京大學, run a `match` query for 北京 over the HTTP API, and assert the document is returned (AC5, fails before this change since the old fallback only matches the exact whole string).
apps/lumen/e2e/operator_backup_kubernetes_wiring.rs	1	18	deep	merged	apps/lumen/e2e/operator_backup_kubernetes_wiring.rs:1-12://!	64e2e111147a	Parse Lumen's rendered backup identity and static operator RBAC as one regression gate before live GKE operator acceptance.
apps/lumen/e2e/retired_credential_surface.rs	1	27	head	disposable	apps/lumen/e2e/retired_credential_surface.rs:2-41://!	124fc7db9aba	A residue gate has to read the repository as text, hold a reviewed exclusion list, and avoid matching its own source; no generator primitive emits that shape.
apps/lumen/e2e/rig_stateful_adapter.rs	1	15	deep	merged	apps/lumen/e2e/rig_stateful_adapter.rs:1-10://!	f62d8f99d12a	Bind Lumen search continuity assertions to the shared Rig stateful lifecycle. generator gap: missing-generator:lumen-stateful-adapter (#1645).
